threads,size,nb,ib,GFlops
24,2048,32,8,24.2226
24,2048,32,12,28.045
24,2048,32,16,18.4398
24,2048,36,8,27.7054
24,2048,36,12,37.0613
24,2048,36,16,26.0544
24,2048,40,8,34.7577
24,2048,40,12,40.0016
24,2048,40,16,45.7523
24,2048,40,20,40.1949
24,2048,44,8,38.2147
24,2048,44,12,49.057
24,2048,44,16,52.2726
24,2048,44,20,55.7022
24,2048,48,8,48.0174
24,2048,48,12,58.7846
24,2048,48,16,69.0393
24,2048,48,20,69.3608
24,2048,48,24,79.1666
24,2048,52,8,49.6686
24,2048,52,12,60.3006
24,2048,52,16,68.1885
24,2048,52,20,77.8113
24,2048,52,24,62.0545
24,2048,56,8,61.409
24,2048,56,12,75.0898
24,2048,56,16,82.6709
24,2048,56,20,89.0288
24,2048,56,24,72.6907
24,2048,56,28,81.6777
24,2048,60,8,63.0723
24,2048,60,12,80.1331
24,2048,60,16,88.7524
24,2048,60,20,98.1693
24,2048,60,24,81.2427
24,2048,60,28,79.8067
24,2048,64,8,78.5704
24,2048,64,12,91.4977
24,2048,64,16,107.4704
24,2048,64,20,81.7442
24,2048,64,24,94.5116
24,2048,64,28,95.3909
24,2048,64,32,105.8031
24,2048,68,8,75.7904
24,2048,68,12,93.6418
24,2048,68,16,101.3117
24,2048,68,20,87.9937
24,2048,68,24,91.2479
24,2048,68,28,103.3001
24,2048,68,32,99.4526
24,2048,72,8,90.2773
24,2048,72,12,110.2668
24,2048,72,16,114.6334
24,2048,72,20,99.7002
24,2048,72,24,104.187
24,2048,72,28,114.7766
24,2048,72,32,110.8784
24,2048,72,36,121.3227
24,2048,76,8,96.922
24,2048,76,12,116.5107
24,2048,76,16,102.9768
24,2048,76,20,107.88
24,2048,76,24,111.9344
24,2048,76,28,120.5843
24,2048,76,32,125.8223
24,2048,76,36,125.6174
24,2048,80,8,104.8621
24,2048,80,12,122.7107
24,2048,80,16,104.4778
24,2048,80,20,116.9635
24,2048,80,24,122.6143
24,2048,80,28,129.2075
24,2048,80,32,124.7481
24,2048,80,36,130.8292
24,2048,80,40,138.9466
24,2048,84,8,107.5596
24,2048,84,12,130.6177
24,2048,84,16,110.9514
24,2048,84,20,116.8556
24,2048,84,24,128.6539
24,2048,84,28,137.0529
24,2048,84,32,132.4075
24,2048,84,36,139.0624
24,2048,84,40,135.117
24,2048,88,8,114.6921
24,2048,88,12,129.5922
24,2048,88,16,114.649
24,2048,88,20,128.4687
24,2048,88,24,130.5951
24,2048,88,28,133.5148
24,2048,88,32,141.1566
24,2048,88,36,138.2
24,2048,88,40,145.6512
24,2048,88,44,151.1877
24,2048,92,8,114.4537
24,2048,92,12,139.4367
24,2048,92,16,126.2958
24,2048,92,20,131.9865
24,2048,92,24,138.5656
24,2048,92,28,146.5248
24,2048,92,32,148.4834
24,2048,92,36,148.5606
24,2048,92,40,148.9865
24,2048,92,44,152.3953
24,2048,96,8,132.2435
24,2048,96,12,154.7483
24,2048,96,16,133.2068
24,2048,96,20,138.7761
24,2048,96,24,150.2645
24,2048,96,28,155.6563
24,2048,96,32,161.3528
24,2048,96,36,157.7448
24,2048,96,40,154.2006
24,2048,96,44,157.9405
24,2048,96,48,163.2065
24,2048,100,8,133.2139
24,2048,100,12,151.2383
24,2048,100,16,133.0102
24,2048,100,20,144.9244
24,2048,100,24,150.0993
24,2048,100,28,155.9075
24,2048,100,32,156.7266
24,2048,100,36,160.6961
24,2048,100,40,158.617
24,2048,100,44,163.433
24,2048,100,48,157.0271
24,2048,104,8,140.9778
24,2048,104,12,130.1251
24,2048,104,16,142.6217
24,2048,104,20,152.167
24,2048,104,24,157.2695
24,2048,104,28,161.6062
