threads,size,nb,ib,GFlops
4,4096,32,8,29.8687
4,4096,32,12,33.5992
4,4096,32,16,40.5439
4,4096,36,8,31.5656
4,4096,36,12,39.4777
4,4096,36,16,41.4345
4,4096,40,8,37.2972
4,4096,40,12,40.8572
4,4096,40,16,48.1542
4,4096,40,20,53.3335
4,4096,44,8,38.5882
4,4096,44,12,45.7685
4,4096,44,16,52.5948
4,4096,44,20,53.218
4,4096,48,8,44.3501
4,4096,48,12,51.6642
4,4096,48,16,60.3024
4,4096,48,20,59.1049
4,4096,48,24,65.0584
4,4096,52,8,45.8808
4,4096,52,12,51.9831
4,4096,52,16,59.0579
4,4096,52,20,63.5181
4,4096,52,24,62.795
4,4096,56,8,50.187
4,4096,56,12,56.9404
4,4096,56,16,64.1263
4,4096,56,20,68.7678
4,4096,56,24,67.761
4,4096,56,28,72.1123
4,4096,60,8,50.5758
4,4096,60,12,60.9016
4,4096,60,16,67.6383
4,4096,60,20,72.3917
4,4096,60,24,70.5089
4,4096,60,28,69.6756
4,4096,64,8,55.6418
4,4096,64,12,62.2998
4,4096,64,16,74.1439
4,4096,64,20,72.3075
4,4096,64,24,76.8502
4,4096,64,28,75.015
4,4096,64,32,82.4812
4,4096,68,8,54.7883
4,4096,68,12,65.1126
4,4096,68,16,71.8748
4,4096,68,20,74.6595
4,4096,68,24,78.6121
4,4096,68,28,76.9672
4,4096,68,32,79.4929
4,4096,72,8,59.2888
4,4096,72,12,68.3218
4,4096,72,16,75.5179
4,4096,72,20,78.5925
4,4096,72,24,82.1379
4,4096,72,28,81.0247
4,4096,72,32,83.654
4,4096,72,36,90.9442
4,4096,76,8,59.2962
4,4096,76,12,68.1445
4,4096,76,16,77.9022
4,4096,76,20,81.6697
4,4096,76,24,79.0044
4,4096,76,28,83.0212
4,4096,76,32,85.1914
4,4096,76,36,84.7248
4,4096,80,8,61.9326
4,4096,80,12,71.4695
4,4096,80,16,82.6429
4,4096,80,20,85.6591
4,4096,80,24,82.927
4,4096,80,28,85.522
4,4096,80,32,89.7201
4,4096,80,36,87.9967
4,4096,80,40,93.4615
4,4096,84,8,62.5251
4,4096,84,12,74.8601
4,4096,84,16,81.1071
4,4096,84,20,83.3348
4,4096,84,24,85.3154
4,4096,84,28,87.9203
4,4096,84,32,91.388
4,4096,84,36,89.9966
4,4096,84,40,89.5359
4,4096,88,8,65.7504
4,4096,88,12,74.6405
4,4096,88,16,84.8028
4,4096,88,20,87.5391
4,4096,88,24,90.3746
4,4096,88,28,87.3308
4,4096,88,32,95.3404
4,4096,88,36,95.2434
4,4096,88,40,93.303
4,4096,88,44,96.8498
4,4096,92,8,65.5426
4,4096,92,12,77.0059
4,4096,92,16,86.4253
4,4096,92,20,88.8118
4,4096,92,24,91.7858
4,4096,92,28,89.1101
4,4096,92,32,95.6716
4,4096,92,36,95.6902
4,4096,92,40,92.8198
4,4096,92,44,92.4877
4,4096,96,8,67.5013
4,4096,96,12,79.4725
4,4096,96,16,90.7003
4,4096,96,20,93.4805
4,4096,96,24,95.1395
4,4096,96,28,92.399
4,4096,96,32,100.7046
4,4096,96,36,99.5377
4,4096,96,40,97.9254
4,4096,96,44,96.2239
4,4096,96,48,103.8411
4,4096,100,8,67.4203
4,4096,100,12,78.7828
4,4096,100,16,86.8679
4,4096,100,20,95.4695
4,4096,100,24,92.456
4,4096,100,28,94.9293
4,4096,100,32,97.3726
4,4096,100,36,100.3974
4,4096,100,40,100.6363
4,4096,100,44,97.9142
4,4096,100,48,99.6823
4,4096,104,8,69.5299
4,4096,104,12,81.2785
4,4096,104,16,90.9255
4,4096,104,20,93.7956
4,4096,104,24,95.7081
4,4096,104,28,97.4826
4,4096,104,32,100.2251
4,4096,104,36,104.4986
4,4096,104,40,103.0113
4,4096,104,44,100.6791
4,4096,104,48,102.4098
4,4096,104,52,106.7877
4,4096,108,8,68.5976
4,4096,108,12,83.3797
4,4096,108,16,92.4016
4,4096,108,20,95.2497
4,4096,108,24,96.6752
4,4096,108,28,98.1694
4,4096,108,32,101.6379
4,4096,108,36,105.3025
4,4096,108,40,103.6942
4,4096,108,44,102.0256
4,4096,108,48,103.7363
4,4096,108,52,102.4233
4,4096,112,8,71.4592
4,4096,112,12,82.6003
4,4096,112,16,95.9927
4,4096,112,20,97.7159
4,4096,112,24,100.6444
4,4096,112,28,101.6534
4,4096,112,32,105.3885
4,4096,112,36,103.6004
4,4096,112,40,108.4048
4,4096,112,44,102.4084
4,4096,112,48,107.4784
4,4096,112,52,105.1012
4,4096,112,56,109.2996
4,4096,116,8,71.0887
4,4096,116,12,83.9544
4,4096,116,16,92.5617
4,4096,116,20,99.2082
4,4096,116,24,100.9267
4,4096,116,28,98.2177
4,4096,116,32,105.6552
4,4096,116,36,104.2817
4,4096,116,40,107.0175
4,4096,116,44,103.934
4,4096,116,48,107.4389
4,4096,116,52,105.4037
4,4096,116,56,102.3677
4,4096,120,8,72.7775
4,4096,120,12,85.7358
4,4096,120,16,95.2412
4,4096,120,20,101.9011
4,4096,120,24,101.912
4,4096,120,28,100.9316
4,4096,120,32,108.6473
