threads,size,nb,ib,GFlops
12,16384,32,8,46.4121
12,16384,32,16,61.3247
12,16384,40,8,59.5128
12,16384,40,16,69.8705
12,16384,48,8,77.5795
12,16384,48,16,97.95
12,16384,48,24,103.1009
12,16384,56,8,88.0158
12,16384,56,16,107.4848
12,16384,56,24,106.0926
12,16384,64,8,97.62
12,16384,64,16,124.0614
12,16384,64,24,122.8994
12,16384,64,32,130.0756
12,16384,72,8,105.3039
12,16384,72,16,129.4575
12,16384,72,24,131.2038
12,16384,72,32,134.4983
12,16384,80,8,112.1102
12,16384,80,16,124.5726
12,16384,80,24,135.9556
12,16384,80,32,141.8065
12,16384,80,40,149.8679
12,16384,88,8,117.0292
12,16384,88,16,127.6018
12,16384,88,24,140.7985
12,16384,88,32,149.4011
12,16384,88,40,150.8889
12,16384,96,8,122.9262
12,16384,96,16,134.2002
12,16384,96,24,149.6178
12,16384,96,32,158.6718
12,16384,96,40,156.1078
12,16384,96,48,164.7789
12,16384,104,8,126.9297
12,16384,104,16,136.401
12,16384,104,24,150.9417
12,16384,104,32,158.5315
12,16384,104,40,161.9707
12,16384,104,48,164.7867
12,16384,112,8,130.926
12,16384,112,16,140.1649
12,16384,112,24,153.5314
12,16384,112,32,161.4147
12,16384,112,40,168.1072
12,16384,112,48,166.7419
12,16384,112,56,174.0257
12,16384,120,8,135.0953
12,16384,120,16,142.8064
12,16384,120,24,160.5557
12,16384,120,32,166.7223
12,16384,120,40,173.3947
12,16384,120,48,172.1087
12,16384,120,56,174.1263
12,16384,128,8,136.2451
12,16384,128,16,143.5462
12,16384,128,24,160.1834
12,16384,128,32,169.5201
12,16384,128,40,171.3532
12,16384,128,48,175.9366
12,16384,128,56,174.1504
12,16384,128,64,175.0518
12,16384,136,8,141.0224
12,16384,136,16,147.014
12,16384,136,24,162.4859
12,16384,136,32,172.078
12,16384,136,40,173.9046
12,16384,136,48,181.0438
12,16384,136,56,174.6554
12,16384,136,64,175.2276
12,16384,144,8,143.932
12,16384,144,16,149.4763
12,16384,144,24,167.7828
12,16384,144,32,173.9107
12,16384,144,40,178.3067
12,16384,144,48,185.4913
12,16384,144,56,179.8459
12,16384,144,64,176.8327
12,16384,144,72,181.5541
12,16384,152,8,112.2749
12,16384,152,16,147.9395
12,16384,152,24,164.6975
12,16384,152,32,177.0363
12,16384,152,40,182.4517
12,16384,152,48,176.2851
12,16384,152,56,183.4158
12,16384,152,64,181.0948
12,16384,152,72,177.8761
12,16384,160,8,113.279
12,16384,160,16,152.625
12,16384,160,24,168.785
12,16384,160,32,181.4303
12,16384,160,40,181.4846
12,16384,160,48,180.8123
12,16384,160,56,185.4207
12,16384,160,64,185.6145
12,16384,160,72,182.8289
12,16384,160,80,187.2239
12,16384,168,8,114.589
12,16384,168,16,151.0247
12,16384,168,24,173.3397
12,16384,168,32,178.102
12,16384,168,40,178.5047
12,16384,168,48,184.8334
12,16384,168,56,189.0397
12,16384,168,64,188.0701
12,16384,168,72,186.7769
12,16384,168,80,183.6746
12,16384,176,8,115.5336
12,16384,176,16,154.8909
12,16384,176,24,170.1274
12,16384,176,32,181.7359
12,16384,176,40,182.794
12,16384,176,48,188.5296
12,16384,176,56,185.2602
12,16384,176,64,191.1135
12,16384,176,72,190.9042
12,16384,176,80,187.7066
12,16384,176,88,191.7866
12,16384,184,8,116.5095
12,16384,184,16,154.5864
12,16384,184,24,174.2592
12,16384,184,32,181.7374
12,16384,184,40,186.5018
12,16384,184,48,190.9336
12,16384,184,56,189.5357
12,16384,184,64,194.0052
12,16384,184,72,193.1624
