threads,size,nb,ib,GFlops
6,4096,32,8,91.5857
6,4096,32,12,95.7424
6,4096,32,16,107.458
6,4096,36,8,93.4793
6,4096,36,12,107.1564
6,4096,36,16,106.8838
6,4096,40,8,106.3076
6,4096,40,12,110.0183
6,4096,40,16,125.107
6,4096,40,20,131.7167
6,4096,44,8,105.6268
6,4096,44,12,124.2628
6,4096,44,16,134.981
6,4096,44,20,130.6872
6,4096,48,8,119.4242
6,4096,48,12,140.8618
6,4096,48,16,152.8649
6,4096,48,20,146.0214
6,4096,48,24,156.5271
6,4096,52,8,124.263
6,4096,52,12,144.1755
6,4096,52,16,145.9744
6,4096,52,20,152.8915
6,4096,52,24,146.4512
6,4096,56,8,130.8182
6,4096,56,12,146.6191
6,4096,56,16,162.3433
6,4096,56,20,167.3923
6,4096,56,24,156.7717
6,4096,56,28,157.2956
6,4096,60,8,127.8305
6,4096,60,12,156.6341
6,4096,60,16,163.562
6,4096,60,20,165.0121
6,4096,60,24,161.3396
6,4096,60,28,155.0299
6,4096,64,8,150.5258
6,4096,64,12,163.0898
6,4096,64,16,181.2326
6,4096,64,20,160.8352
6,4096,64,24,170.0588
6,4096,64,28,166.9721
6,4096,64,32,181.0344
6,4096,68,8,148.1453
6,4096,68,12,160.223
6,4096,68,16,169.9156
6,4096,68,20,160.7273
6,4096,68,24,168.3092
6,4096,68,28,168.6072
6,4096,68,32,175.4042
6,4096,72,8,161.2845
6,4096,72,12,177.2971
6,4096,72,16,185.7838
6,4096,72,20,171.0757
6,4096,72,24,180.8597
6,4096,72,28,179.9496
6,4096,72,32,183.7426
6,4096,72,36,187.6819
6,4096,76,8,156.1567
6,4096,76,12,169.3387
6,4096,76,16,170.6909
6,4096,76,20,171.5258
6,4096,76,24,177.1008
6,4096,76,28,175.5533
6,4096,76,32,183.779
6,4096,76,36,182.5685
6,4096,80,8,168.5561
6,4096,80,12,179.596
6,4096,80,16,179.1241
6,4096,80,20,181.3999
6,4096,80,24,183.0595
6,4096,80,28,185.6126
6,4096,80,32,189.9758
6,4096,80,36,186.7451
6,4096,80,40,197.1763
6,4096,84,8,164.8166
6,4096,84,12,181.8827
6,4096,84,16,176.4526
6,4096,84,20,177.1876
6,4096,84,24,188.8033
6,4096,84,28,190.08
6,4096,84,32,196.0131
6,4096,84,36,197.0279
6,4096,84,40,197.2723
6,4096,88,8,177.4037
6,4096,88,12,186.7579
6,4096,88,16,182.7246
6,4096,88,20,183.3637
6,4096,88,24,189.744
6,4096,88,28,187.0312
6,4096,88,32,200.147
6,4096,88,36,198.3837
6,4096,88,40,200.1497
6,4096,88,44,202.6034
6,4096,92,8,171.8302
6,4096,92,12,185.2722
6,4096,92,16,183.9332
6,4096,92,20,186.3654
6,4096,92,24,190.0797
6,4096,92,28,191.1874
6,4096,92,32,197.0237
6,4096,92,36,199.913
6,4096,92,40,203.7779
6,4096,92,44,201.6317
6,4096,96,8,185.7599
6,4096,96,12,202.5712
6,4096,96,16,193.5485
6,4096,96,20,191.3569
6,4096,96,24,201.5014
6,4096,96,28,198.332
6,4096,96,32,209.6305
6,4096,96,36,204.0406
6,4096,96,40,209.7782
6,4096,96,44,208.3468
6,4096,96,48,218.4558
6,4096,100,8,181.9909
6,4096,100,12,197.5294
6,4096,100,16,187.8202
6,4096,100,20,192.5772
6,4096,100,24,197.4461
6,4096,100,28,197.8361
6,4096,100,32,209.4536
6,4096,100,36,208.5681
6,4096,100,40,207.7697
6,4096,100,44,212.0189
6,4096,100,48,216.182
6,4096,104,8,188.26
6,4096,104,12,167.7496
6,4096,104,16,196.4108
6,4096,104,20,197.3909
6,4096,104,24,202.6737
6,4096,104,28,202.7138
6,4096,104,32,214.0655
6,4096,104,36,216.2675
6,4096,104,40,213.9792
6,4096,104,44,207.5424
6,4096,104,48,220.5439
6,4096,104,52,217.8599
6,4096,108,8,187.7743
6,4096,108,12,172.3646
6,4096,108,16,192.5521
6,4096,108,20,196.7201
6,4096,108,24,199.5671
6,4096,108,28,205.6233
6,4096,108,32,209.8298
6,4096,108,36,217.4384
6,4096,108,40,216.6877
6,4096,108,44,213.09
6,4096,108,48,217.4438
6,4096,108,52,219.2736
6,4096,112,8,196.6476
6,4096,112,12,171.5941
6,4096,112,16,202.7759
6,4096,112,20,199.2397
6,4096,112,24,208.0068
6,4096,112,28,209.0747
6,4096,112,32,218.7783
6,4096,112,36,215.2592
6,4096,112,40,221.2676
6,4096,112,44,214.8448
6,4096,112,48,220.7798
6,4096,112,52,219.3621
6,4096,112,56,226.8551
6,4096,116,8,191.0085
6,4096,116,12,174.6191
6,4096,116,16,195.3527
6,4096,116,20,200.8459
6,4096,116,24,208.2841
