threads,size,nb,ib,GFlops
12,16384,32,8,114.8219
12,16384,32,16,135.073
12,16384,40,8,129.506
12,16384,40,16,146.1479
12,16384,48,8,150.951
12,16384,48,16,159.3333
12,16384,48,24,178.9303
12,16384,56,8,163.9777
12,16384,56,16,172.0134
12,16384,56,24,179.3919
12,16384,64,8,176.735
12,16384,64,16,213.6536
12,16384,64,24,211.5175
12,16384,64,32,231.7434
12,16384,72,8,184.0715
12,16384,72,16,212.8382
12,16384,72,24,226.9896
12,16384,72,32,235.5753
12,16384,80,8,185.5322
12,16384,80,16,200.4149
12,16384,80,24,234.2884
12,16384,80,32,244.2167
12,16384,80,40,257.2036
12,16384,88,8,191.2362
12,16384,88,16,203.0712
12,16384,88,24,238.692
12,16384,88,32,256.965
12,16384,88,40,256.6401
12,16384,96,8,191.4881
12,16384,96,16,239.5975
12,16384,96,24,252.438
12,16384,96,32,271.2779
12,16384,96,40,266.6779
12,16384,96,48,278.9157
12,16384,104,8,194.9473
12,16384,104,16,217.3585
12,16384,104,24,251.1514
12,16384,104,32,268.2093
12,16384,104,40,272.4738
12,16384,104,48,277.6232
12,16384,112,8,199.1597
12,16384,112,16,246.5254
12,16384,112,24,256.8574
12,16384,112,32,273.7445
12,16384,112,40,280.9385
12,16384,112,48,281.2913
12,16384,112,56,287.8679
12,16384,120,8,203.4611
12,16384,120,16,249.9494
12,16384,120,24,268.1493
12,16384,120,32,282.7842
12,16384,120,40,289.0499
12,16384,120,48,290.1551
12,16384,120,56,288.7821
12,16384,128,8,205.5142
12,16384,128,16,253.7602
12,16384,128,24,266.314
12,16384,128,32,289.1572
12,16384,128,40,287.6804
12,16384,128,48,295.5418
12,16384,128,56,288.5697
12,16384,128,64,296.1289
12,16384,136,8,211.7503
12,16384,136,16,256.2572
12,16384,136,24,268.4904
12,16384,136,32,290.6131
12,16384,136,40,288.289
12,16384,136,48,303.0375
12,16384,136,56,292.1973
12,16384,136,64,297.1078
12,16384,144,8,217.0393
12,16384,144,16,261.1457
12,16384,144,24,280.097
12,16384,144,32,293.2109
12,16384,144,40,295.4622
12,16384,144,48,310.3415
12,16384,144,56,301.6006
12,16384,144,64,297.4899
12,16384,144,72,303.6481
12,16384,152,8,195.3104
12,16384,152,16,256.5853
12,16384,152,24,273.0378
12,16384,152,32,297.5372
12,16384,152,40,302.0175
12,16384,152,48,297.8871
12,16384,152,56,304.1703
12,16384,152,64,302.6224
12,16384,152,72,296.0958
12,16384,160,8,192.2968
12,16384,160,16,265.4209
12,16384,160,24,276.4806
12,16384,160,32,303.7694
12,16384,160,40,302.0807
12,16384,160,48,306.1375
12,16384,160,56,308.3816
12,16384,160,64,308.8274
12,16384,160,72,302.0967
12,16384,160,80,310.727
12,16384,168,8,195.9032
12,16384,168,16,262.7218
12,16384,168,24,286.7597
12,16384,168,32,298.5773
12,16384,168,40,297.5184
12,16384,168,48,310.6231
12,16384,168,56,313.0526
12,16384,168,64,313.2476
12,16384,168,72,308.5311
12,16384,168,80,303.9594
