threads,size,nb,ib,GFlops
12,8192,32,8,109.1481
12,8192,32,16,126.2469
12,8192,40,8,132.4731
12,8192,40,16,147.8297
12,8192,48,8,151.4131
12,8192,48,16,162.4352
12,8192,48,24,182.3861
12,8192,56,8,163.4405
12,8192,56,16,173.4329
12,8192,56,24,179.1245
12,8192,64,8,175.9324
12,8192,64,16,208.0153
12,8192,64,24,209.2925
12,8192,64,32,228.337
12,8192,72,8,181.1218
12,8192,72,16,212.564
12,8192,72,24,218.8023
12,8192,72,32,233.3665
12,8192,80,8,182.9829
12,8192,80,16,196.2714
12,8192,80,24,231.4792
12,8192,80,32,242.5507
12,8192,80,40,251.3473
12,8192,88,8,186.7003
12,8192,88,16,199.5596
12,8192,88,24,234.3199
12,8192,88,32,250.5237
12,8192,88,40,251.4728
12,8192,96,8,188.9306
12,8192,96,16,233.0768
12,8192,96,24,247.9509
12,8192,96,32,264.8214
12,8192,96,40,261.1033
12,8192,96,48,271.2993
12,8192,104,8,193.3249
12,8192,104,16,230.7619
12,8192,104,24,245.984
12,8192,104,32,264.375
12,8192,104,40,266.6507
12,8192,104,48,272.8364
12,8192,112,8,196.8771
12,8192,112,16,242.1959
12,8192,112,24,251.3497
12,8192,112,32,265.6699
12,8192,112,40,270.9709
12,8192,112,48,272.5688
12,8192,112,56,278.6439
12,8192,120,8,200.5184
12,8192,120,16,244.8941
12,8192,120,24,262.9524
12,8192,120,32,274.6151
12,8192,120,40,279.8088
12,8192,120,48,281.1902
12,8192,120,56,278.843
12,8192,128,8,205.2862
12,8192,128,16,249.082
12,8192,128,24,261.9234
12,8192,128,32,281.421
12,8192,128,40,278.8748
12,8192,128,48,286.0835
12,8192,128,56,280.3136
12,8192,128,64,286.1869
12,8192,136,8,210.7213
12,8192,136,16,251.478
12,8192,136,24,264.1597
12,8192,136,32,281.7055
12,8192,136,40,278.5553
12,8192,136,48,293.1223
12,8192,136,56,283.2913
12,8192,136,64,287.3267
12,8192,144,8,218.2891
12,8192,144,16,257.5839
12,8192,144,24,273.9978
12,8192,144,32,285.7474
12,8192,144,40,287.5574
12,8192,144,48,301.4585
12,8192,144,56,292.1313
12,8192,144,64,289.6549
12,8192,144,72,294.6271
12,8192,152,8,190.7027
12,8192,152,16,253.3345
12,8192,152,24,267.3329
12,8192,152,32,289.7536
12,8192,152,40,293.3091
12,8192,152,48,289.7124
12,8192,152,56,296.7818
12,8192,152,64,294.3773
12,8192,152,72,288.1747
12,8192,160,8,188.9596
12,8192,160,16,260.9088
12,8192,160,24,271.7426
12,8192,160,32,295.8952
12,8192,160,40,293.9423
12,8192,160,48,296.0387
12,8192,160,56,299.1741
12,8192,160,64,299.4589
12,8192,160,72,292.7469
12,8192,160,80,300.2179
12,8192,168,8,191.8341
12,8192,168,16,259.461
12,8192,168,24,281.5998
12,8192,168,32,293.0204
12,8192,168,40,291.5431
12,8192,168,48,303.086
12,8192,168,56,305.101
12,8192,168,64,304.6237
12,8192,168,72,299.8573
12,8192,168,80,295.8765
12,8192,176,8,189.3473
12,8192,176,16,263.9814
12,8192,176,24,275.7583
12,8192,176,32,297.9191
12,8192,176,40,296.6351
12,8192,176,48,307.6299
12,8192,176,56,297.0589
12,8192,176,64,308.4315
12,8192,176,72,304.362
12,8192,176,80,302.5574
12,8192,176,88,305.209
12,8192,184,8,190.4934
12,8192,184,16,262.9401
12,8192,184,24,280.9882
12,8192,184,32,299.1868
12,8192,184,40,300.4125
12,8192,184,48,309.3541
12,8192,184,56,303.4819
12,8192,184,64,310.8829
12,8192,184,72,307.034
12,8192,184,80,306.0101
12,8192,184,88,298.8682
12,8192,192,8,190.8578
12,8192,192,16,268.8736
12,8192,192,24,285.9277
12,8192,192,32,304.8074
12,8192,192,40,306.5033
12,8192,192,48,315.5156
12,8192,192,56,309.7558
12,8192,192,64,314.2475
12,8192,192,72,312.1299
12,8192,192,80,311.4093
12,8192,192,88,305.7266
12,8192,192,96,310.1256
12,8192,200,8,189.77
12,8192,200,16,266.3164
12,8192,200,24,282.6207
12,8192,200,32,298.5431
12,8192,200,40,309.0274
12,8192,200,48,307.4365
12,8192,200,56,312.2883
12,8192,200,64,306.9104
12,8192,200,72,314.5044
12,8192,200,80,314.0921
12,8192,200,88,309.3334
12,8192,200,96,304.6932
12,8192,208,8,189.028
12,8192,208,16,268.5896
12,8192,208,24,283.9836
12,8192,208,32,302.5708
12,8192,208,40,302.9024
12,8192,208,48,313.1515
12,8192,208,56,313.9745
12,8192,208,64,311.6729
12,8192,208,72,315.4872
12,8192,208,80,315.4399
12,8192,208,88,310.8524
12,8192,208,96,308.6659
12,8192,208,104,310.3462
12,8192,216,8,189.7698
12,8192,216,16,268.3363
12,8192,216,24,289.8093
12,8192,216,32,307.0361
