threads,size,nb,ib,GFlops
12,2048,32,8,110.4342
12,2048,32,12,117.4715
12,2048,32,16,127.2695
12,2048,36,8,113.1086
12,2048,36,12,128.2154
12,2048,36,16,128.6423
12,2048,40,8,130.2905
12,2048,40,12,135.3173
12,2048,40,16,147.2482
12,2048,40,20,150.3893
12,2048,44,8,129.6917
12,2048,44,12,145.3894
12,2048,44,16,150.5392
12,2048,44,20,149.0367
12,2048,48,8,150.3543
12,2048,48,12,160.2396
12,2048,48,16,162.3356
12,2048,48,20,159.6194
12,2048,48,24,170.3283
12,2048,52,8,143.3253
12,2048,52,12,158.0655
12,2048,52,16,159.3232
12,2048,52,20,157.3206
12,2048,52,24,167.4139
12,2048,56,8,159.3983
12,2048,56,12,168.1831
12,2048,56,16,173.8744
12,2048,56,20,175.7954
12,2048,56,24,179.3134
12,2048,56,28,182.4327
12,2048,60,8,154.4602
12,2048,60,12,168.2075
12,2048,60,16,168.8117
12,2048,60,20,185.3781
12,2048,60,24,172.823
12,2048,60,28,170.9615
12,2048,64,8,171.8334
12,2048,64,12,179.0846
12,2048,64,16,199.2932
12,2048,64,20,176.172
12,2048,64,24,200.4052
12,2048,64,28,191.8559
12,2048,64,32,211.4057
12,2048,68,8,166.8582
12,2048,68,12,173.3986
12,2048,68,16,184.4768
12,2048,68,20,178.9645
12,2048,68,24,183.1287
12,2048,68,28,194.8178
12,2048,68,32,202.212
12,2048,72,8,179.4444
12,2048,72,12,182.8744
12,2048,72,16,202.0543
12,2048,72,20,196.7046
12,2048,72,24,207.3629
12,2048,72,28,205.8975
12,2048,72,32,209.8577
12,2048,72,36,213.6848
12,2048,76,8,174.7727
12,2048,76,12,178.2189
12,2048,76,16,186.7858
12,2048,76,20,191.9054
12,2048,76,24,188.3037
12,2048,76,28,204.713
12,2048,76,32,213.9374
12,2048,76,36,210.6208
12,2048,80,8,180.6215
12,2048,80,12,182.7026
12,2048,80,16,186.1005
12,2048,80,20,204.1731
12,2048,80,24,206.4303
12,2048,80,28,210.4566
12,2048,80,32,217.4199
12,2048,80,36,214.8184
12,2048,80,40,219.8749
12,2048,84,8,177.5163
