threads,size,nb,ib,GFlops
4,2048,32,8,23.5327
4,2048,32,12,26.1981
4,2048,32,16,29.1808
4,2048,36,8,24.4264
4,2048,36,12,30.05
4,2048,36,16,30.6678
4,2048,40,8,28.1917
4,2048,40,12,30.9002
4,2048,40,16,33.8515
4,2048,40,20,38.2996
4,2048,44,8,29.3539
4,2048,44,12,34.4194
4,2048,44,16,37.4354
4,2048,44,20,37.6796
4,2048,48,8,32.9522
4,2048,48,12,36.9637
4,2048,48,16,40.2564
4,2048,48,20,39.4729
4,2048,48,24,42.3011
4,2048,52,8,34.0991
4,2048,52,12,37.5107
4,2048,52,16,40.266
4,2048,52,20,42.2056
4,2048,52,24,41.4087
4,2048,56,8,37.3104
4,2048,56,12,40.8432
4,2048,56,16,43.1602
4,2048,56,20,45.9688
4,2048,56,24,44.5792
4,2048,56,28,46.6174
4,2048,60,8,37.871
4,2048,60,12,42.9264
4,2048,60,16,45.2955
4,2048,60,20,47.4068
4,2048,60,24,46.4455
4,2048,60,28,45.8415
4,2048,64,8,42.1197
4,2048,64,12,44.9477
4,2048,64,16,50.1311
4,2048,64,20,50.0915
4,2048,64,24,51.7885
4,2048,64,28,50.516
4,2048,64,32,53.3489
4,2048,68,8,41.5069
4,2048,68,12,46.2384
4,2048,68,16,48.6011
4,2048,68,20,49.9847
4,2048,68,24,51.4023
4,2048,68,28,50.245
4,2048,68,32,51.5453
4,2048,72,8,44.7968
4,2048,72,12,50.0211
4,2048,72,16,51.4756
4,2048,72,20,53.3167
4,2048,72,24,54.1531
4,2048,72,28,53.9836
4,2048,72,32,54.1188
4,2048,72,36,56.1086
4,2048,76,8,45.4542
4,2048,76,12,50.7449
4,2048,76,16,54.2488
4,2048,76,20,56.0803
4,2048,76,24,54.2303
4,2048,76,28,56.1008
4,2048,76,32,56.6266
4,2048,76,36,56.2577
4,2048,80,8,47.6
4,2048,80,12,52.4911
4,2048,80,16,57.1567
4,2048,80,20,58.3045
4,2048,80,24,55.7032
4,2048,80,28,58.0161
4,2048,80,32,58.9878
4,2048,80,36,57.5342
4,2048,80,40,59.7823
4,2048,84,8,47.1115
4,2048,84,12,53.6098
4,2048,84,16,55.5931
4,2048,84,20,56.9586
4,2048,84,24,57.7024
4,2048,84,28,59.0111
4,2048,84,32,59.7504
4,2048,84,36,58.4751
4,2048,84,40,57.384
4,2048,88,8,49.0654
4,2048,88,12,54.2965
4,2048,88,16,58.2295
4,2048,88,20,58.9773
4,2048,88,24,60.3252
4,2048,88,28,59.5061
4,2048,88,32,61.7361
4,2048,88,36,61.5063
4,2048,88,40,60.1658
4,2048,88,44,61.9084
4,2048,92,8,49.4606
4,2048,92,12,55.911
4,2048,92,16,59.1287
4,2048,92,20,60.5991
4,2048,92,24,61.3743
4,2048,92,28,60.0841
4,2048,92,32,62.2801
4,2048,92,36,61.6992
4,2048,92,40,60.7195
4,2048,92,44,60.0087
4,2048,96,8,51.6137
4,2048,96,12,57.6988
4,2048,96,16,61.5513
4,2048,96,20,63.1565
4,2048,96,24,63.3286
4,2048,96,28,62.1702
4,2048,96,32,64.5153
