threads,size,nb,ib,GFlops
4,2048,32,8,23.1413
4,2048,32,12,26.0193
4,2048,32,16,30.2765
4,2048,36,8,24.2288
4,2048,36,12,29.997
4,2048,36,16,30.095
4,2048,40,8,26.2883
4,2048,40,12,30.6924
4,2048,40,16,34.722
4,2048,40,20,38.7308
4,2048,44,8,29.5325
4,2048,44,12,34.6978
4,2048,44,16,38.2022
4,2048,44,20,38.3891
4,2048,48,8,33.1993
4,2048,48,12,37.8607
4,2048,48,16,41.7962
4,2048,48,20,41.6578
4,2048,48,24,44.0601
4,2048,52,8,33.8645
4,2048,52,12,38.0182
4,2048,52,16,41.081
4,2048,52,20,43.6862
4,2048,52,24,42.6266
4,2048,56,8,37.5242
4,2048,56,12,41.5786
4,2048,56,16,44.9955
4,2048,56,20,47.835
4,2048,56,24,46.5898
4,2048,56,28,49.3375
4,2048,60,8,37.7548
4,2048,60,12,43.8206
4,2048,60,16,46.9659
4,2048,60,20,49.7115
4,2048,60,24,48.4939
4,2048,60,28,47.6681
4,2048,64,8,41.8223
4,2048,64,12,46.0861
4,2048,64,16,52.3143
4,2048,64,20,51.6521
4,2048,64,24,53.445
4,2048,64,28,52.9093
4,2048,64,32,55.9094
4,2048,68,8,40.1463
4,2048,68,12,47.3601
4,2048,68,16,50.5399
4,2048,68,20,52.1814
4,2048,68,24,53.9747
4,2048,68,28,52.7487
4,2048,68,32,53.611
4,2048,72,8,44.4349
4,2048,72,12,50.7996
4,2048,72,16,53.7282
4,2048,72,20,55.7752
4,2048,72,24,57.2702
4,2048,72,28,56.9449
4,2048,72,32,57.133
4,2048,72,36,59.9138
4,2048,76,8,45.295
4,2048,76,12,51.295
4,2048,76,16,56.2373
4,2048,76,20,58.2759
4,2048,76,24,56.7994
4,2048,76,28,59.4281
4,2048,76,32,59.9376
4,2048,76,36,56.7004
4,2048,80,8,47.3584
4,2048,80,12,53.118
4,2048,80,16,59.3181
4,2048,80,20,61.0431
4,2048,80,24,58.5816
4,2048,80,28,61.0745
4,2048,80,32,62.0566
4,2048,80,36,61.2151
4,2048,80,40,63.3235
4,2048,84,8,46.9155
4,2048,84,12,54.7665
4,2048,84,16,57.3844
4,2048,84,20,59.5768
4,2048,84,24,60.0816
4,2048,84,28,61.5781
4,2048,84,32,62.6894
4,2048,84,36,61.7021
4,2048,84,40,60.9155
4,2048,88,8,49.283
4,2048,88,12,54.639
4,2048,88,16,60.4287
4,2048,88,20,62.236
4,2048,88,24,63.048
4,2048,88,28,61.5048
4,2048,88,32,65.1219
4,2048,88,36,64.5944
4,2048,88,40,63.589
4,2048,88,44,65.2047
4,2048,92,8,49.1535
4,2048,92,12,56.4185
4,2048,92,16,61.6756
4,2048,92,20,63.0268
4,2048,92,24,63.6858
4,2048,92,28,62.4875
4,2048,92,32,65.5643
4,2048,92,36,65.2058
4,2048,92,40,64.3091
4,2048,92,44,63.1516
4,2048,96,8,50.9801
4,2048,96,12,58.407
4,2048,96,16,64.4307
4,2048,96,20,66.1545
4,2048,96,24,66.4489
4,2048,96,28,65.243
4,2048,96,32,68.2433
4,2048,96,36,67.2253
4,2048,96,40,67.3833
4,2048,96,44,66.0826
4,2048,96,48,66.2698
4,2048,100,8,50.7774
4,2048,100,12,57.5248
4,2048,100,16,63.0916
4,2048,100,20,67.0151
4,2048,100,24,64.8184
4,2048,100,28,66.8495
4,2048,100,32,66.9619
4,2048,100,36,68.5459
4,2048,100,40,68.3664
4,2048,100,44,67.0151
4,2048,100,48,67.2844
4,2048,104,8,52.6145
4,2048,104,12,60.2019
4,2048,104,16,65.6403
4,2048,104,20,67.2113
4,2048,104,24,67.3934
4,2048,104,28,68.9415
4,2048,104,32,69.4924
